doc_id,context,question,ratings,hypo_answers
coastalrowing,"Coastal Rowing and the Olympics

Coastal rowing will make an Olympic debut at the Los Angeles 2028 Games, with medals being awarded in the beach sprint discipline.

Best Coastal Rowing athletes to watch out for
Many of the oarsmen and women who have excelled at classic flat water rowing have also taken part in Coastal Rowing competitions, and competitors often row in both the endurance and beach sprint disciplines of the sport. Ireland, Spain, the Netherlands, and Britain have excelled in recent years, and Olympic champion Helen Glover from Great Britain has a silver medal from the World Rowing Beach Sprint championships. Adrian Miramon Quiroga of Spain is a seven-time world champion known as the ‘King of the Beach’.",Which country has excelled in Coastal Rowing in recent years and has produced multiple world champions in the sport?,5,Italy
artisticswimming,"The sport of artistic swimming developed by combining water acrobatics with music. Although the first contests were organised for men, artistic swimming later became more associated with women. After a number of demonstrations in the US in the early 20th century, the discipline grew in popularity and the first competitions were organised.",Why did artistic swimming become more associated with women after its initial development for men?,4,"Artistic swimming became more associated with women after its initial development for men because historically, women were seen as being more graceful and elegant in the water, which made them better suited for the sport's aesthetic and artistic nature. Additionally, societal norms and expectations around gender roles and athleticism played a role in shaping the direction of the sport towards primarily female participants."
artisticswimming,"Brief Overview of the Rules

At the Olympic Games, the sport consists of two events: a duet and a team competition. The duet events consist of a technical routine and a free routine. An acrobatic routine is added for the team event. The events will take place on a 30 metres by 20 metres area and in a pool with a depth of 3 metres minimum.

The routines are scored by judges who take several criteria into account: level of difficulty, synchronization, execution and artistic impression.

Athletes need to propel themselves out of the water to perform certain movements or pivot with the upper half of their bodies underwater. The sport therefore requires great flexibility, power, attention to detail, and coordination.",What are the criteria judges take into account when scoring synchronized swimming routines at the Olympic Games?,5,"Judges take into account factors such as synchronization, difficulty of movements, artistic impression, choreography, technical execution, and overall presentation when scoring synchronized swimming routines at the Olympic Games."
artisticswimming,"Olympic History

Artistic swimming became an Olympic discipline at the Los Angeles 1984 Olympic Games. At Paris 2024, male athletes will be allowed to compete in the sport for the first time in Olympic history in the team event.

The USA and Canada were initially the dominant force in artistic swimming at the Games, combining for 17 medals (including eight gold medals). Since the Sydney 2000 Games, the Russian Olympic Committee has become the top National Olympic Committee in the sport, winning 12 consecutive gold medals.",When did male athletes first compete in the team event of artistic swimming at the Olympics?,5,Male athletes first competed in the team event of artistic swimming at the Olympics in the Tokyo 2020 Summer Olympics.
cricket,"Cricket is a bat-and-ball team sport where the batting side tries to score as many runs as possible while the bowling side attempts to get batters out, also known as taking wickets, and restrict the flow or runs.

Cricket bats are constructed from high-grade willow with balls made of leather stitched onto a cork core.

International cricket was solely comprised of Test matches comprising two innings per team, but limited overs formats have largely taken over in recent decades with Twenty20 - 20 overs per side - it is the suggested format to be played at the Los Angeles 2028 Olympic Games.",What material are cricket bats made from and what are cricket balls made of?,5,"Cricket bats are typically made from willow wood, specifically English willow or Kashmir willow. Cricket balls are typically made from a core of cork, which is wrapped in string and covered with a leather casing."
cricket,"By whom, where and when was Cricket invented?

Cricket was first played in southern England in the 16th century but it was not until 1744 that the 'Laws of Cricket' were codified with the first recorded women's match taking place a year later.

Limited overs cricket, where teams have a set number of overs to post a score, was founded in India in 1951 with the first-one-day international (ODI) held in 1971.

While ODIs have gradually been shortened, to satisfy timing and television demands, to 50 overs a side, Twenty20 cricket (or T20) was created in 2003 by the England and Wales Cricket Board.

T20 internationals were first held the following year and, thanks to innovations like the Indian Premier League (IPL), 20-over-a-side cricket has become its most popular format with numerous leagues attracting top players from across the world.",When were the 'Laws of Cricket' codified?,5,The 'Laws of Cricket' were codified in 1744.
cricket,"What are the rules of Cricket?

Each team has 11 players with one side batting and the other fielding. The fielding side has at least five bowlers who bowl (throwing with a straight arm unlike a baseball pitcher's bent arm) at one of a pair of batters on a pitch 22 yards (20 metres) away. The batter guards a set of three wooden stumps in the ground - with two bails on top - and the wicketkeeper from the fielding side stands behind them.

A batter scores runs by hitting the ball and running to the other end of the pitch with their partner going in the opposite direction. If they score an odd number of runs, their partner faces the next ball. A batter scores four runs for hitting the ball to the boundary, and six runs should the ball clear the boundary rope without touching the ground. A bowler bowls an over - six balls in succession - before another bowler begins the next over from the other end of the pitch.

The main ways in which a batter can be out (dismissed) are bowled (if the bails are dislodged by the ball), caught, leg before wicket (if the ball hits the batter's pads in front of the stumps) and run out (bails removed by a member of the fielding side with the ball before the batter completes a run).

If a team loses 10 wickets, leaving one batter on their own, they are 'all out' and the innings is over. In T20, the innings is usually complete at the end of 20 overs. The team batting second must then try to exceed that score inside 20 overs and without losing all 10 wickets.

In the Laws of Cricket, the only difference between the men's and women's games is the use of a slightly smaller and lighter ball in the latter.",What are the main ways in which a batter can be out in the game of Cricket?,5,"A batter can be out in Cricket through the following main ways: bowled, caught, LBW (Leg Before Wicket), run out, stumped, and hit wicket."
cricket,"Cricket and the Olympics

Cricket's only previous Olympic appearance came at the Paris 1900 Games. It consisted of a single two-innings-a-side two-day match with Great Britain's Devon and Somerset Wanderers defeating France's French Athletic Club Union.

T20 is the format that is proposed for Los Angeles 2028.",What was the format of cricket played at the Paris 1900 Olympics and who were the participating teams?,3,"At the Paris 1900 Olympics, cricket was played as a two-day match between teams representing Great Britain and France."
cricket,"Best Cricket players to watch

Having been exported from England, cricket's power base remains in former British colonies.

Until the turn of the century, India, Australia, England, New Zealand, Pakistan, Sri Lanka, South Africa, Zimbabwe and the West Indies - a composite representative team featuring the likes of Jamaica, Barbados and Trinidad and Tobago - were the nine ""Full Members"" of the International Cricket Council.

Bangladesh became the 10th Full Member in 2000 with Ireland and Afghanistan making it 12 in 2017.

The West Indies dominated men's cricket in the 1980s but have struggled of late and failed to reach the 50-over-a-side World Cup in 2023.

England, whose players would represent Great Britain at Los Angeles 2028, beat Pakistan in the final of the last T20 World Cup in 2022. Hard-hitting wicketkeeper Jos Buttler and spin bowler Adil Rashid are among their leading lights.

Cricket-mad India, led by batters Rohit Sharma and Virat Kohli, and Australia are also big players with New Zealand finally winning a major tournament by becoming World Test champions in 2021.

Women's cricket has grown in popularity since coming under the International Cricket Council umbrella in 2005. Australia, led by star duo Ellyse Perry and Meg Lanning, has long been the dominant nation in women's cricket, winning three consecutive T20 World Cups and four of the last seven one-day World Cups.",Which country has dominated women's cricket by winning three consecutive T20 World Cups and four of the last seven one-day World Cups?,5,Australia
archery,"Archery is one of the oldest sports still practised today, and is closely linked to the development of human civilisation. Historically, archery has been used for hunting and warfare; the earliest evidence of its use comes from South African sites such as Sibudu Cave, where arrowheads dating from approximately 64,000 years ago have been found. The first recorded archery tournaments took place in the People's Republic of China during the Zhou dynasty (1027‑256 BC). In 1931, the sport evolved around the globe and the international archery federation—now known as World Archery—was founded.",What is the significance of Sibudu Cave in relation to the history of archery?,4,"Sibudu Cave is significant in relation to the history of archery because it has yielded some of the earliest evidence of bow and arrow technology, dating back over 64,000 years ago. The cave has provided archaeologists with well-preserved examples of arrowheads and other artifacts related to archery, helping to understand the development and use of archery in ancient societies."
archery,"Brief Overview of the Rules

Targets are 122cm in diameter and positioned 70m away from the archers, who must shoot their arrows as close to the centre of the target as possible in order to beat their opponents. Olympic archery comprises five events: two individual competitions for men and women, two team competitions (one each for men and women), and a mixed team competition, which returns to the programme after making its Olympic debut at Tokyo 2020.

Archery requires great concentration and dexterity; archers must overcome their nerves as a single mistake can prove costly in competition. Individual competitions at the Games begin with the ranking round, where each of the 64 archers shoot 72 arrows to determine their ranking for the single-elimination bracket. The athletes compete in this knockout system until the final according to their ranking, with the top‑ranked archer facing off against the 64th‑ranked archer, the second‑ranked against the 63rd‑ranked, and so on.

The team event uses the same ranking results from the individual competition to determine seeding for the teams; the top four teams receive a bye into the quarterfinals, while the rest of the field competes in a single-elimination bracket. The mixed team event also uses the results of the ranking round to qualify and seed teams.",What is the diameter of the targets in Olympic archery and how far away are they positioned from the archers?,5,The diameter of the targets in Olympic archery is 122 cm (48 inches) and they are positioned 70 meters (229.7 feet) away from the archers.
archery,"Olympic History

Archery first featured at the Olympic Games at Paris 1900, and was contested again at the Games in St. Louis (1904), London (1908), and Antwerp (1920) before a 52-year hiatus from the Olympic programme.

Archery was reintroduced at the Games for the 1972 Summer Olympics in Munich and has remained on the Olympic programme ever since. The Republic of Korea has been the most successful nation in the sport at the Olympics, winning 27 gold, nine silver, and seven bronze medals for a total of 43 medals.",When was archery reintroduced to the Olympic Games?,5,Archery was reintroduced to the Olympic Games in 1972.
athletics,"Contested at the very first ancient Olympic Games, athletics is one of the oldest sports on record, with the names of champions documented from as far back as 776 BC. The ancient Olympic Games included events like the pentathlon, which consisted of a running race, long jump, discus throw, javelin throw, and wrestling. The first meets in modern times that can be likened to the athletics competitions we know today took place in 1840 in Shropshire, England. Other such championships began to thrive and spread in the 1880s, particularly in England, the USA, and Europe. In 1912, the international federation that oversees international athletics competitions—the IAAF (now known as World Athletics)—was established.",What is the name of the international federation that oversees international athletics competitions?,5,The international federation that oversees international athletics competitions is called World Athletics.
athletics,"Brief Overview of the Rules

Modern athletics is composed of various running, jumping, throwing, walking, and combined events. Due to its many categories and disciplines, athletics involves the most participants in a single sport at the Olympic Games.

The track programme includes sprints, middle-distance and long-distance events as well as hurdles, steeplechase races, and relays for men and women. These events take place on the 400m oval track in the Olympic stadium (made up of two straights and two curved bends).

Two kinds of events are held on public roads —the marathon and race walking—which are both incredibly demanding and highly tactical, often leading to a variety of strategies with athletes sometimes even working together to defeat a rival. Spectators line the route to watch and cheer the athletes on.

The Olympic programme also includes two combined events—the seven-event women’s heptathlon and the ten-event men’s decathlon—both of which are contested over two days. Both competitions test athletes’ abilities across a range of athletic disciplines, with the most well-rounded competitor earning the gold medal. The disciplines are contested on, within, and around the track in the Olympic stadium, in the jumping area (high jump and pole vault), the jumping pit (long jump and triple jump), the throwing circle (shot put, discus and hammer throw), and the javelin runway. Athletes compete one after another, and the event includes a qualifying stage during which the best athletes secure their place in the final.",What are the two kinds of events held on public roads in athletics?,5,The two kinds of events held on public roads in athletics are road races and marathons.
athletics,"Olympic History

It was a logical choice to include athletics at the inaugural Games of the modern Olympics held in 1896 in Athens, Greece. Its age-old position in the Olympic programme makes athletics the crown jewel of the Summer Games. The men’s events have remained unchanged since the 1932 Los Angeles Games, save for the addition of the 20km race walk at the 1956 Melbourne Games. Women’s events appeared for the first time at the 1928 Olympic Games in Amsterdam. The women's competition only had 17 events until 1992, but with the incorporation of the 3000m steeplechase in 2008, female athletes now compete in the same number of events as their male counterparts.

The 1960s saw a boom in athletics in developing countries, with the sport’s reach extending across the entire world. At the Beijing 2008 Olympic Games, athletes from 62 countries competed in the finals.","What event was added to the women's athletics programme in 2008, bringing the number of events to be equal to the men's events?",5,"The steeplechase event (3,000m) was added to the women's athletics programme in 2008, bringing the number of events to be equal to the men's events."
fencing,"Fencing’s origins can be found in swordplay, which has been practised for thousands of years—as evidenced by the discovery of carvings depicting fencers that date to around 1190 BCE which were discovered in a temple near Luxor, Egypt.

Spurred on by Italian, German and French fencing masters, fencing made the transition from a form of military training to a sport in either the 14th or 15th century. Fencing is now practised all over the world, generating fierce competition not only in Europe but also in Asia, Oceania, the Americas and Africa; the International Fencing Federation is now made up of 157 national federation members.","When were carvings depicting fencers discovered in a temple near Luxor, Egypt?",4,"Carvings depicting fencers were discovered in a temple near Luxor, Egypt during the reign of Thutmose III in 1479-1425 BC."
fencing,"Brief Overview of the Rules

In fencing, two competitors, each holding a weapon in one hand, face each other to strike their opponent on a valid target area of the body. The rules differ according to the type of weapon used. There are 12 events in Olympic fencing, with three types of weapon used: foil, épée and sabre.

Hits made with the point (tip), edge, or back of the blade are counted as valid in sabre, with the target area including the entire torso above the waist, as well as the head and arms. In épée and foil, fencers only score when they strike their opponent with the point of their weapon. In épée the target area covers the entire body from the mask down to the feet, while in foil the target area is the trunk only (torso, shoulders and neck). The first fencer to reach 15 points, or scores the most points at the completion of three three-minute rounds, wins the match. In team fencing, the first team to score 45 points, or the team leading when time runs out, wins.",What is the target area for sabre fencing?,5,"The target area for sabre fencing is the entire body above the waist, including the head, arms, and torso."
fencing,"Olympic History

Fencing is a long-standing Olympic sport, as evidenced by its presence on the Olympic programme since the inaugural modern Olympic Games in Athens in 1896. Women’s fencing entered the Games in 1924 in Paris. Today, men and women compete in individual and team events. Previously, foil was the only women’s fencing event until the Atlanta 1996 Olympic Games when women’s épée was added, while women’s sabre was added for the first time at the Athens 2004 Olympic Games.

Among the figures who have left their mark on the sport is Italy’s Nedo Nadi: the only fencer to have won a medal in every weapon in a single edition of the Games. In 1912, at 18 years old, he won gold in the foil. Then, after being decorated by his country for acts of bravery during World War I, he won five gold medals in Antwerp in 1920 - a historic and unequalled record - in the individual foil and sabre events, and in the team foil, épée and sabre events.",When was women's sabre added as an event in the Olympic Games?,4,Women's sabre was added as an event in the Olympic Games in 2004.
shooting,"Shooting has been an Olympic sport since the first modern Games and has been practised in Europe for hundreds of years. Some German clubs date back more than five hundred years. Shooting grew in popularity more recently in English-speaking countries, particularly with the formation of the National Rifle Association (NRA) in the United States in 1871. Today, shooting is a popular sport all over the world, with athletes from over 100 countries taking part in the shooting events at each Olympic Games.",When did the National Rifle Association (NRA) form in the United States?,5,The National Rifle Association (NRA) formed in the United States in 1871.
shooting,"Brief Overview of the Rules

There are three Olympic shooting disciplines: rifle, pistol and shotgun. Rifle and pistol events take place on shooting ranges, where athletes aim at targets at distances of 10m, 25m and 50m. There are also three positions: kneeling (where the athlete goes down on one knee and rests the elbow on the other knee), prone and standing. Some events include all positions.

To hit the targets as accurately and as close to the centre (the bullseye) as possible, marksmen use relaxation techniques to lower their heartbeat. Shotgun events are different in principle, as they take place outdoors. Marksmen shoot at flying targets fired from different angles and directions. This sport demands a great deal of concentration, decision making and sharp reflexes.",What are the three positions used in rifle and pistol shooting events at the Olympics?,5,"The three positions used in rifle and pistol shooting events at the Olympics are prone, standing, and kneeling."
shooting,"Olympic History

With the exception of the 1904 and 1928 Olympic Games, shooting sports have been included at every Summer Olympic Games since Athens in 1896. The number of events has changed from one edition of the Games to the next, increasing from five in 1896 to 15 today. The United States has won by far the most Olympic medals, followed by China and Russia (under the USSR flag). Italy has also been holding its own – for instance, it took home three gold medals and two silver medals at the Rio 2016 Games, with Niccolò Campriani bagging two Olympic titles.",How many shooting events were included in the 1896 Athens Olympic Games?,1,There were four shooting events included in the 1896 Athens Olympic Games.
cyclingtrack,"The first bicycles were invented in the 1850s and looked quite different to the bikes we know today. But it wasn’t until the 1870s that the first competitions for cycling indoors on wooden tracks were staged, with the first six‑day race taking place in London in 1878. Track cycling quickly grew in popularity and continued to develop with the creation of the International Cycling Association in 1892 and the organisation of the first world championships in Chicago in 1893.",When was the first six-day race for cycling indoors on wooden tracks held in London?,5,The first six-day race for cycling indoors on wooden tracks in London was held in 1878.
cyclingtrack,"Brief Overview of the Rules

Track cycling takes place in a 250m bowl-shaped arena known as a velodrome, with events in different race formats for individuals and teams. Track bicycles differ from road bicycles in that they are fixed gear and do not have brakes.

Several types of races take place on the track, each with their own specific rules and techniques. Some rely more heavily on tactics, while others favour strength and power; for example, the effort needed to complete a lap in the individual sprint is quite different than that which is required for the 25km group omnium race.",What type of bicycles are used in track cycling and how do they differ from road bicycles?,5,"The type of bicycles used in track cycling are typically fixed gear bikes with no brakes. They differ from road bicycles in that they have a steeper geometry, are lighter in weight, have a different handlebar setup, and are not equipped with gears or freewheel mechanism."
cyclingtrack,"Olympic History

A long-standing Olympic discipline, track cycling has appeared at every edition of the modern Olympic Games with the exception of the 1912 Games in Stockholm. Women first competed in track events at the Seoul 1988 Olympic Games.

Throughout the sport’s 120‑year Olympic history, European nations—particularly Great Britain, France, the Netherlands, and Italy—have taken the majority of medals on offer at the Games.",Which edition of the modern Olympic Games did not feature track cycling as a discipline?,5,"The best guess would be the first modern Olympic Games, held in 1896 in Athens, as track cycling was not introduced as an Olympic discipline until the 1900 Paris Games."
breaking,"Breaking is an urban dance style that originated in the United States in the 1970s. With roots in hip-hop culture, breaking first took form in the lively block parties in the Bronx borough of New York, and is characterised by acrobatic movements, stylised footwork, and the key role played by the DJ and the MC (master of ceremonies) during battles.

International competitions were first held in the 1990s, popularising the dance form both among hip-hop communities and the general public along the way.",What are the key elements and characteristics of the urban dance style known as breaking?,5,"Some key elements and characteristics of the urban dance style known as breaking include dynamic footwork, intricate floor moves, freezes, and power moves. Breaking is often characterized by its improvisational nature, creativity, and individual expression. The dance style is typically performed to hip-hop and breakbeat music, with dancers often engaging in battles or cyphers to showcase their skills and compete against one another. The fashion associated with breaking often includes loose-fitting clothing, sneakers, and accessories such as hats and bandanas."
breaking,"Brief Overview of the Rules

The breaking competition at the Paris 2024 Olympic Games comprises two events—one for men and one for women—where 16 B-Boys and 16 B-Girls will face off in spectacular solo battles. Athletes will use a combination of power moves—including windmills, the 6-step, and freezes—as they adapt their style and improvise to the beat of the DJ’s tracks in a bid to secure the judges’ votes and take home the first Olympic breaking medals.","How many athletes will compete in the breaking competition at the Paris 2024 Olympic Games, and what style of dance moves will they use during their performances?",2,"It is estimated that around 64 athletes will compete in the breaking competition at the Paris 2024 Olympic Games. They will use a variety of different dance moves including power moves, footwork, freezes, and transitions."
breaking,"Olympic History

Breaking featured at the Summer Youth Olympic Games in Buenos Aires in 2018. Following its outstanding success at the Games in Argentina, breaking was added to the Paris 2024 Olympic programme as a new sport.",What sport was added to the Paris 2024 Olympic programme following its success at the Summer Youth Olympic Games in Buenos Aires in 2018?,5,Breakdancing
rugbysevens,"The sport of rugby can trace its origins back to medieval times in several European countries, but it was between 1845 and 1848 that the modern rugby codes were established by pupils from a school in the English town of Rugby and the University of Cambridge. In 1871, the first national federation was formed; two years later, the discipline of rugby sevens was conceived by two butchers, Ned Haig and David Sanderson, as a fund-raising event in Melrose, Scotland. In 1886, the International Rugby Board (now known as World Rugby) was established.",When and where were the modern rugby codes established?,5,The modern rugby codes were established in the mid-19th century in England. Rugby Union was formalized in 1871 with the creation of the Rugby Football Union while Rugby League was established later in 1895.
